gazebo-time, fl-z, foot-contact-time, fl-contact, gazebo-time, fr-z, foot-contact-time, fr-contact, gazebo-time, rl-z, foot-contact-time, rl-contact, gazebo-time, rr-z, foot-contact-time, rr-contact
, , 2916.3930000000000291, 1, , , 2916.3930000000000291, 1, , , 2916.3930000000000291, 1, , , 2916.3930000000000291, 1
, , 2916.3980000000001382, 1, , , 2916.3980000000001382, 1, , , 2916.3980000000001382, 1, , , 2916.3980000000001382, 1
, , 2916.4029999999997926, 1, , , 2916.4029999999997926, 1, , , 2916.4029999999997926, 1, , , 2916.4029999999997926, 1
, , 2916.4079999999999018, 1, , , 2916.4079999999999018, 1, , , 2916.4079999999999018, 1, , , 2916.4079999999999018, 1
, , 2916.4130000000000109, 1, , , 2916.4130000000000109, 1, , , 2916.4130000000000109, 1, , , 2916.4130000000000109, 1
, , 2916.4180000000001201, 0, , , 2916.4180000000001201, 1, , , 2916.4180000000001201, 1, , , 2916.4180000000001201, 0
, , 2916.4239999999999782, 0, , , 2916.4239999999999782, 1, , , 2916.4239999999999782, 1, , , 2916.4239999999999782, 0
, , 2916.4279999999998836, 0, , , 2916.4279999999998836, 1, , , 2916.4279999999998836, 1, , , 2916.4279999999998836, 0
, , 2916.4329999999999927, 0, , , 2916.4329999999999927, 1, , , 2916.4329999999999927, 1, , , 2916.4329999999999927, 0
, , 2916.4380000000001019, 0, , , 2916.4380000000001019, 1, , , 2916.4380000000001019, 1, , , 2916.4380000000001019, 0
, , 2916.443000000000211, 0, , , 2916.443000000000211, 1, , , 2916.443000000000211, 1, , , 2916.443000000000211, 0
, , 2916.4479999999998654, 0, , , 2916.4479999999998654, 1, , , 2916.4479999999998654, 1, , , 2916.4479999999998654, 0
, , 2916.4529999999999745, 0, , , 2916.4529999999999745, 1, , , 2916.4529999999999745, 1, , , 2916.4529999999999745, 0
, , 2916.4580000000000837, 0, , , 2916.4580000000000837, 1, , , 2916.4580000000000837, 1, , , 2916.4580000000000837, 0
, , 2916.4630000000001928, 0, , , 2916.4630000000001928, 1, , , 2916.4630000000001928, 1, , , 2916.4630000000001928, 0
, , 2916.4679999999998472, 0, , , 2916.4679999999998472, 1, , , 2916.4679999999998472, 1, , , 2916.4679999999998472, 0
, , 2916.4749999999999091, 0, , , 2916.4749999999999091, 1, , , 2916.4749999999999091, 1, , , 2916.4749999999999091, 0
, , 2916.4780000000000655, 0, , , 2916.4780000000000655, 1, , , 2916.4780000000000655, 1, , , 2916.4780000000000655, 0
, , 2916.4830000000001746, 0, , , 2916.4830000000001746, 1, , , 2916.4830000000001746, 1, , , 2916.4830000000001746, 0
